source,cluster_id,threshold,area_km2,prob_max,prob_mean,centroid_x,centroid_y,dist_to_known_m,n_known_inside,score_size,score_discovery,val_vtt_r100,val_rel_vis,val_dist_rijeka,val_strahler,val_aps_vis,pred_prob_mean_feat,shap_vtt_r100,shap_rel_vis_100_250,shap_dist_rijeka_korig,shap_strahler,shap_aps_vis
thr85_all,854,0.85,0.1344,0.915,0.8955,556842.62,5027834.01,11481.32,0,0.120335,8.554397,Cambisols,14.32,277.5,1,416.4,0.9113,0.06846,0.23019,0.12139,0.01121,-0.0187
thr85_all,855,0.85,0.0194,0.8781,0.8621,632573.79,5027915.73,6568.21,0,0.016703,7.718471,Luvisols,15.634,274.2,1,221.3,0.8544,0.04141,0.26886,0.08583,0.00898,-0.04938
thr85_all,856,0.85,0.085,0.915,0.9001,557553.12,5027619.85,10865.46,0,0.076508,8.503952,Cambisols,18.637,279.5,1,451.4,0.9113,0.06908,0.228,0.12024,0.01146,-0.01623
thr85_all,857,0.85,0.0275,0.8664,0.8625,559157.95,5027643.75,9972.79,0,0.023718,7.977737,Cambisols,15.89,628.6,1,523.8,0.8614,0.06249,0.25462,0.05969,0.00888,-0.02299
thr85_all,858,0.85,0.0131,0.9129,0.8853,631886.31,5027544.64,5982.97,0,0.01162,7.939527,Cambisols,8.76,309.5,1,175.9,0.8945,0.0715,0.2014,0.11201,0.00706,0.00384
thr85_all,859,0.85,0.0425,0.915,0.898,558193.01,5027466.91,10357.31,0,0.038167,8.460129,Cambisols,14.118,286.4,1,454.0,0.9113,0.06904,0.22832,0.11737,0.01169,-0.01387
thr85_all,860,0.85,0.0131,0.8846,0.8663,584517.26,5027533.93,4699.75,0,0.01137,7.479941,Luvisols,9.42,263.9,1,243.0,0.8513,0.03704,0.24349,0.07938,0.01038,-0.0177
thr85_all,861,0.85,0.0544,0.9188,0.8742,644065.09,5027234.05,2928.85,0,0.047536,7.334114,Cambisols,2.223,275.2,1,116.3,0.8788,0.12309,0.08252,0.10817,0.01146,0.05485
thr85_all,862,0.85,0.01,0.8748,0.8661,682912.5,5027450.0,2878.43,0,0.008661,6.968044,Cambisols,0.979,137.4,2,87.1,0.8727,0.13373,0.05443,0.12261,0.02641,0.03681
thr85_all,863,0.85,0.0194,0.877,0.8636,682428.63,5027408.47,2738.86,0,0.016733,6.942383,Cambisols,1.239,128.5,2,87.8,0.869,0.13513,0.05063,0.12838,0.02925,0.02683
thr85_all,864,0.85,0.0231,0.8632,0.8606,557703.04,5027276.01,10503.04,0,0.019902,7.992781,Cambisols,17.93,590.8,1,521.6,0.8542,0.05856,0.25477,0.05624,0.00945,-0.02356
