source,cluster_id,threshold,centroid_x,centroid_y,area_km2,prob_max,prob_mean,dist_to_known_m,n_known_inside,val_vtt_r100,val_rel_vis,val_dist_rijeka,val_strahler,val_aps_vis,attr_type,pc1,pc2,shap_vtt_r100,shap_rel_vis_100_250,shap_dist_rijeka_korig,shap_strahler,shap_aps_vis
thr85_all,582,0.85,621171.59,5042359.09,0.0138,0.8829,0.8674,54.77,0,Luvisols,6.467,714.4,2,134.0,4,0.7946476753812968,1.342545176462479,0.0602,0.21861,0.03893,0.01757,0.03737
thr85_all,583,0.85,602892.74,5042222.74,0.0656,0.8664,0.8616,8675.35,0,Cambisols,19.082,625.3,1,526.5,2,1.4582127634350566,-0.6737723105531243,0.06249,0.25462,0.05969,0.00888,-0.02299
thr85_all,584,0.85,581989.37,5042182.28,0.0419,0.915,0.8987,5226.43,0,Cambisols,16.047,282.1,1,485.9,0,0.38769325550860534,-1.2375589548725578,0.0691,0.228,0.12014,0.01154,-0.01623
thr85_all,585,0.85,582677.44,5042195.83,0.0544,0.915,0.905,5036.92,0,Cambisols,16.195,247.8,1,452.5,0,0.4329191463303146,-1.3141454091817328,0.0697,0.22837,0.11908,0.01089,-0.01938
thr85_all,586,0.85,603356.53,5042174.81,0.0419,0.915,0.8974,8589.79,0,Cambisols,12.967,263.4,1,425.9,0,0.43258088761840374,-1.3142984317979256,0.07048,0.23043,0.11794,0.01169,-0.01965
thr85_all,587,0.85,579068.15,5042175.4,0.0194,0.915,0.8925,6827.37,0,Cambisols,14.704,312.3,1,516.5,0,0.4841696394566765,-1.073197175369978,0.06873,0.23573,0.11266,0.01262,-0.01341
thr85_all,588,0.85,604609.06,5042022.5,0.05,0.8664,0.8587,8460.58,0,Cambisols,17.319,640.4,1,436.3,2,1.540391214012097,-0.7464569000937067,0.06106,0.25607,0.05836,0.00839,-0.02619
thr85_all,589,0.85,578569.83,5041979.53,0.0725,0.8664,0.8619,7053.16,0,Cambisols,14.321,634.4,1,594.4,2,1.4690913530848193,-0.6872269184748602,0.06254,0.25531,0.05948,0.00887,-0.02352
thr85_all,590,0.85,632320.44,5041986.71,0.0394,0.9089,0.881,3394.06,0,Luvisols,6.328,504.4,1,118.6,4,0.9876935598271516,2.164871100215604,0.05898,0.22126,0.03277,0.00552,0.0615
thr85_all,591,0.85,603946.49,5041960.96,0.0713,0.925,0.9076,8363.8,0,Cambisols,15.306,273.1,1,373.9,0,0.3847336399091762,-1.0930254132199786,0.07073,0.23344,0.11848,0.01156,-0.01165
